timestamp,case_name,model,concurrency,request_count,input_tokens_per_request,output_tokens_per_request,wall_time_seconds,request_throughput_rps,input_token_throughput_tps,output_token_throughput_tps,avg_latency_seconds,p50_latency_seconds,p95_latency_seconds,p99_latency_seconds,peak_gpu_memory_mb,avg_gpu_utilization_percent,successful_requests,failed_requests,notes
2026-08-14T02:30:10.663909+00:00,short-short,qwen2.5-0.5b-instruct,8,16,55.0,32.0,0.400290,39.971058,2198.408193,1279.073858,0.197237,0.195556,0.201325,0.201350,,,16,0,"prefix_cache_control=True; cache_salt:23f0e91455a570cb32a66bf790cf7323fdd09348f907797a37c752325c1b9f2e,9c58d919a68fb95b799047cd3d83034f683f5c82e8ece8647efaf564359a8b35,799e7630c6d23f568ad6bda40321ddf1d66f8ce493fc3628a43f7d2988dabb35,e6c1486a9dda220f21b9ea2e84d039c9ea324b6d7c95754c4356bd3afd8f8fd2,dc948724bd651e4fdb553a1f66853f60276180de80780854cc4632ac64af710c,39df1dd34d3e946f3cc19c94cc77c2911f286df46c09c263de39e1d47026bbe6,37b9301a9052058dfeee6643917045ccd301de922a83ab084ca203bdd458f2af,2c9131262bcc7a084d06b036f86cde599e81fc24c1e1fba55bd176999be5f60a,2102c7870da8c962e53952828d29c0c1e1b2b105153af4a471ae4a5d2ca24efa,4718f055390843d3657cb8cc17ef7be860a18492e13cac33a622efa65caf1b3d,b241d7bcc56b25977bca82e5e764d2ff65fe0bbfcad17cbf26781ec64f977cc2,b066fddf5186ad3c16e42eb349dea4020d072ac4fd607cfdd4deeb30ffbaf95e,e4fe44e04cfa6016ff1361c78309277c13e8180a2203b479366366632d319a82,d0d9ee4cd94ddbf200a092b92d40e1848a771277888b2034c621b682b9b5ca6a,6e765bf3461bcec901a22c99e657686bf96e38751c639594ede0f3aa86513947,20ac034c168c17df65f1d53314eedf8b0d784fd9ced88524f33ee6587760db09;request_namespace=20260812-lab4-c8"
2026-08-14T02:30:19.676620+00:00,short-long,qwen2.5-0.5b-instruct,8,16,60.0,512.0,5.854021,2.733164,163.989837,1399.379939,2.923733,2.924322,2.927461,2.928406,,,16,0,"prefix_cache_control=True; cache_salt:96e19a2db2d5497c9227c49b6cce40480bb786961541f30cd2c18683aecee158,0b6790d861c8a62cda7e34908891439b0336070a8a40806dab77b8134ec48815,4a5b0509a1d11a5670a95bca954d3ca6171c5572f9593445c0a89d25f176a03b,f694270c4526f316d02ff59d66283e241750604b5ffdf7828bdb70126074c014,0b64be3839bff506652dbe02dcb4c0e704e46612514398badc3b411c6b03b1b4,65fe86c52840e3d88a8bf6b73c335b0bc771a36de41ca8c5c7448c8952341eb2,a12bed3ac963ed071e42daab6a79fbe5c4e959b75a66d74a14561bee5f58ab33,60812e4d77f371146125c298e3a09ce043a64d0033050d5fef9fe2dbf466657f,78000980bf038bf18710f4947f1774e08b09e9c07c7c65f44af62183b4ab97df,6134cdddafd3065641245023d9ae92a1a68ea0d0231a04d4c821703ed4f1e05c,f7df38dcee45860880c87ced9d22988b2313cf1a2a53e60909ebbabef6884a3d,59afbce281521040c530b8100792ea88c050519251f010f5872a4e1bf62b826a,b20c0e86cf58e492d96defc29279a5172d415d08fa4fdd95d02937b52bb68105,40295395469efd70b7d5f37783df4e88e834a4f687a99d87ff971497fc77f810,6f6830468312eb2b508fa1433a7c8b3b01ee6193fff7151541a66260ccc73797,36e6dba1bb48cae023ed193eeb680f60f7f31bdc14d2ac937a8a046effbf1e5c;request_namespace=20260812-lab4-c8"
2026-08-14T02:30:22.255480+00:00,long-short,qwen2.5-0.5b-instruct,8,16,5890.0,32.0,2.249241,7.113511,41898.577300,227.632338,1.088965,1.072998,1.587164,1.663861,,,16,0,"prefix_cache_control=True; cache_salt:98bbab6bed3622617fb38f8579312e8aa3cc6fcc3bb0ce34568dd44488bfe649,d49887e725b47a22bd21c1351c2153727ac0d35574f0621c89f60a3562c0f5e3,0c5b5bb713d0ebaf63edd86f00d3c298c6284cb4ee46b1285e9e39a8bb920cba,1bf5cfd6ce023f679420f9c3d4535ced478799bc283e81a2745477e97e446172,c2696221f6e23255d3399e8095f3109fed1df5f6097caf7b3ee5221a4ffb4381,0beeaa645679a93ce6121b928a86c560b5022a6b99383f98dc2ddf75a2b778d8,3f07afb1a8f671152318c73e751895d553df8bf853ff16b68211b5d2936cec67,83183711791ecca6cfda88e61308d47c57f8742eb210428980fd47922e9499f5,ce6533bf8bb94d842eeae461080a00a6bdd3c84422546abe86432236f1f93660,0f89e5c63ce5b17c2eb5380a6899411e0564b691dd8016ba5c30c567f3031fb8,e7b5b60b16c28d722a04902d6b3b1aaa4ee99a2fc12c5671b9098c2579ab7274,85d770c0474a07109a67b4960a6ca5e8a9f0e5bc15fe3b27bd76754753cfc5cd,a050ce9e6e534356cc976a5f04c8e5eeaa3a4f0f7e703e36aa3908b1e8bbc325,ef1e592eb88736d6f4bf315becdae88d1212449cee2249b97c41489890b21539,47e75274c010ab8ca44d6f5722e82edc6590072c2ced6d12953ee874dae1d0b4,82dce0d9db166b28e242fa152343c5ad35735057cd51db72549734ea6b444b5e;request_namespace=20260812-lab4-c8"
2026-08-14T02:30:30.562420+00:00,long-long,qwen2.5-0.5b-instruct,8,16,5888.0,265.25,6.488450,2.465920,14519.337869,654.085321,2.934113,2.654297,4.612997,4.716330,,,16,0,"prefix_cache_control=True; cache_salt:0837584959e2ad51c53925fd8480a76346769822dede587824f526cbfc7cce49,e97f063ef8a3cda7156c88e597e0db10b375a11d89e7ea01d5087a58427ab6f2,321f18a6ccad73f0974b704339d3b050b7a4c804deaa69e8fee643a0b3a6bee2,0163ff2a5882c1888477dd24db2390fa50919b2d8419d7bd3713422bb302a5b9,99673bc17990e1bc2ddb8780a5251860002eb5aafb4033bfbd510936b916033c,d774c09205ce6473ae772e9c146c1a564f241715e81c844dcda698e4b98713ca,b3a128b3df48f92cb9174d856f0e0d63c0609f626dc2586e94856348f68a6330,a6d0bdf62a653c1a857dcb6fc120865d47a4abe8ed6904c5883506b0333bf95e,8c9951662cae7a1fa66a89fc8b78d9d17dfe0af9fc21098b924ce4bb5711e335,898e6f0dfa4aac7adafa26a6c1fe6f671345f29516ad499602200bd1d7942867,8146802e49e169becdb507c834d425161d94049e5182ce7ad79bbb23fb060b6c,4283df04b6c2c640e11bbef7c7616cc111e6c4d75755997016392dd637f4003f,0360cce29cff79565eca5cbc730dca29fb6a47f4cd675b5cf7ef3dd4ead2a68d,eea80cafd5c89f0199be16251a741b90d22eb6232eee0c8b68aaeaacf2b6cd25,f9f493820849bb73e0cd98bdb4899b384d90c86da142a892a7938a9c051fd47e,1fe13baaa64fc93cf7e9afb543a41cfbacee5d6e878a10a791a7b2d53d7cb04a;request_namespace=20260812-lab4-c8"
